site_protocol_code,range_code,survey_point_number,deployment_cycle,range_name,aru_sampling_rate,aru_recording_time_in_seconds,aru_sleep_time_in_seconds,aru_sampling_times,first_file_date,first_file_time,last_file_date,last_file_time,notes,latitude,longitude,elevation_in_metres
CENT_PO19_D1,CENT,PO19,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241106,173000,20241206,132000,NA,13.214055,-61.190477,588.0198364
CENT_PO19_D2,CENT,PO19,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250520,113000,20250615,53000,NA,13.214055,-61.190477,588.0198364
CENT_PO20_D1,CENT,PO20,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241106,173000,20241206,120000,NA,13.199042,-61.194283,421.9858704
CENT_PO20_D2,CENT,PO20,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250108,100000,20250207,60000,NA,13.199042,-61.194283,421.9858704
CENT_PO20_D3,CENT,PO20,D3,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250401,121000,20250429,120000,NA,13.199042,-61.194283,421.9858704
CENT_PO21_D1,CENT,PO21,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241118,100000,20241210,135000,NA,13.178863,-61.203617,381.1807251
CENT_PO21_D2,CENT,PO21,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,104000,20250118,104000,NA,13.178863,-61.203617,381.1807251
CENT_PO21_D3,CENT,PO21,D3,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250331,125000,20250501,54000,NA,13.178863,-61.203617,381.1807251
CENT_PO22_D1,CENT,PO22,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241118,111000,20241210,134000,NA,13.188467,-61.207527,446.7081909
CENT_PO22_D2,CENT,PO22,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,100000,20250118,114000,NA,13.188467,-61.207527,446.7081909
CENT_PO22_D3,CENT,PO22,D3,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250331,135000,20250501,105000,NA,13.188467,-61.207527,446.7081909
CENT_PO22_D4,CENT,PO22,D4,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,132000,20250608,65000,NA,13.188467,-61.207527,446.7081909
CENT_PO23_D1,CENT,PO23,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241106,180000,20241127,130000,NA,13.18521,-61.219883,459.782135
CENT_PO23_D2,CENT,PO23,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,115000,20250206,111000,NA,13.18521,-61.219883,459.782135
CENT_PO23_D3,CENT,PO23,D3,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250331,173000,20250501,45000,NA,13.18521,-61.219883,459.782135
CENT_PO23_D4,CENT,PO23,D4,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,103000,20250612,104000,NA,13.18521,-61.219883,459.782135
CENT_PO24_D1,CENT,PO24,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241125,100000,20241210,104000,NA,13.214538,-61.212592,349.7554016
CENT_PO24_D2,CENT,PO24,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250109,120000,20250119,51000,NA,13.214538,-61.212592,349.7554016
CENT_PO24_D3,CENT,PO24,D3,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250331,173000,20250419,185000,NA,13.214538,-61.212592,349.7554016
CENT_PO24_D4,CENT,PO24,D4,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,105000,20250524,105000,NA,13.214538,-61.212592,349.7554016
CENT_PO25_D1,CENT,PO25,D1,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241106,173000,20241206,62000,NA,13.217502,-61.219403,394.0932312
CENT_PO25_D2,CENT,PO25,D2,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250109,110000,20250202,65000,NA,13.217502,-61.219403,394.0932312
CENT_PO25_D3,CENT,PO25,D3,Central,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,100000,20250614,103000,NA,13.217502,-61.219403,394.0932312
