date_configured,time_configured,name_of_person_configuring,recorder_id,notes
2024-12-09,11:28:00.000-04:00,Robert Grant,43,
2024-12-09,11:52:00.000-04:00,Robert Grant,45,
2024-12-12,09:00:00.000-04:00,Robert Grant,41,
2024-12-12,09:20:00.000-04:00,Robert Grant,42,
2024-12-12,09:34:00.000-04:00,Robert Grant,44,
2024-12-16,09:17:00.000-04:00,Robert Grant,7,
2024-12-16,09:41:00.000-04:00,Robert Grant,9,
2024-12-16,10:01:00.000-04:00,Robert Grant,26,
2024-12-16,10:31:00.000-04:00,Robert Grant,29,
2024-12-16,10:50:00.000-04:00,Robert Grant,30,
2024-12-16,11:22:00.000-04:00,Robert Grant,31,
2024-12-17,09:20:00.000-04:00,Robert Grant,34,
2024-12-17,08:40:00.000-04:00,Robert Grant,32,
2024-12-17,09:01:00.000-04:00,Robert Grant,33,
2024-12-18,10:37:00.000-04:00,Robert Grant,1,
2024-12-18,11:10:00.000-04:00,Robert Grant,3,
2024-12-18,11:30:00.000-04:00,Robert Grant,14,
2024-12-23,10:20:00.000-04:00,Robert Grant,38,error_could_not_configure
2024-12-23,08:52:00.000-04:00,Robert Grant,47,
2024-12-23,09:25:00.000-04:00,Robert Grant,48,
2024-12-23,09:42:00.000-04:00,Robert Grant,50,
2024-12-23,10:05:00.000-04:00,Robert Grant,37,
2025-01-03,08:59:00.000-04:00,Robert Grant,24,
2025-01-03,09:20:00.000-04:00,Robert Grant,22,
2025-01-03,09:34:00.000-04:00,Robert Grant,23,
2025-01-03,09:57:00.000-04:00,Robert Grant,27,
2025-01-03,10:36:00.000-04:00,Robert Grant,28,
2025-01-06,11:07:00.000-04:00,Robert Grant,36,
2025-01-09,09:58:00.000-04:00,Robert Grant,4,
2025-01-13,09:43:00.000-04:00,Robert Grant,5,
2025-01-17,11:18:00.000-04:00,Robert Grant,46,
2025-01-27,09:06:00.000-04:00,Robert Grant,29,
2025-01-27,09:27:00.000-04:00,Robert Grant,30,
2025-01-27,09:58:00.000-04:00,Robert Grant,32,
2025-01-27,10:15:00.000-04:00,Robert Grant,33,
2025-01-27,10:20:00.000-04:00,Robert Grant,34,
2025-02-03,08:44:00.000-04:00,Robert Grant,13,error_could_not_configure
