start,end,Date,Time,Range,Data collector Central,Other name,Data collector Leeward,Other name,Data collector Windward North,Other name,Data collector Windward South,Other name,GPS Number ,Survey Point Number (Example: PO1 or PO2). See the table and protocol to find the point. This is the location you navigated to using your GPS at the start of the trail.,"Waypoint Number: Press ""MARK"" on your GPS to create a waypoint. Change the name to 'Survey Point Number' followed by 'Location'. For example",,,,,,,,,,,,AudioMoth Number,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:02:21.689000-04:00,2024-11-06 15:16:31.396000-04:00,11/6/2024,15:02:00.000-04:00,Central,Ansaki Roberts,,,,,,,,3,,19,13°12.8433',061°11.4286',592,,Forestry Planation,0,0,1,0,,Deployed,39,Yes,,Yes,,Done,,,,,,,1730920571513.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Feabc78ec-44cb-4d5c-b7a1-a05327af2e66%2F1730920571513.jpg,,404909189,eabc78ec-44cb-4d5c-b7a1-a05327af2e66,11/6/2024 22:43,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,1
2024-11-06 17:05:32.706000-04:00,2024-11-06 17:18:44.259000-04:00,11/6/2024,17:05:00.000-04:00,Central,Other (write name below),Shannette Jackson,,,,,,,3,,20,13°11.9425',061°11.6570',421,,Tropical Montane Forest ,1,0,0,0,,Deployed,40,Yes,,Yes,,Done,,,,,,,1730927879690.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Ff5c54f86-7f34-406d-a674-c9d4ac6b2459%2F1730927879690.jpg,,404909193,f5c54f86-7f34-406d-a674-c9d4ac6b2459,11/6/2024 22:43,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,2
2024-11-06 11:52:43.724000-04:00,2024-11-06 15:48:59.439000-04:00,11/6/2024,15:14:00.000-04:00,Central,Glen Grant,,,,,,,,4,,2,W061 13.0454,N13 13.1146 ,371,,Forestry Planation,0,0,1,0,,Deployed,45,Yes,,Yes,,Done,,,,,,,1730922084100.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fffe15a09-9af6-4b5d-9337-b371c0233f59%2F1730922084100.jpg,,404931873,ffe15a09-9af6-4b5d-9337-b371c0233f59,11/7/2024 2:06,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,3
2024-11-06 17:40:29.182000-04:00,2024-11-06 17:59:10.879000-04:00,11/6/2024,17:40:00.000-04:00,Central,Glen Grant,,,,,,,,4,,6,W061 13.1930,N13 11.1126,448,,Tropical Montane Forest  Farmland,1,1,0,0,,Deployed,43,Yes,,Yes,,Done,,,,,,,1730930293853.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F1bba5906-4921-48da-b1f4-962a4bcd97e1%2F1730930293853.jpg,,404931875,1bba5906-4921-48da-b1f4-962a4bcd97e1,11/7/2024 2:06,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,4
2024-11-07 08:04:54.692000-05:00,2024-11-07 09:31:01.705000-05:00,11/7/2024,09:04:00.000-05:00,Leeward,,,Verlisha Bulbs,,,,,,1,,PO31Hermitage,13° 15. 1246,"061° 12 .3975""",442,,Forestry Planation,0,0,1,0,,Deployed,1,Yes,,Yes,,Done,,,,,OK,,1730989857040.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fbf758d03-26b2-4f37-a143-3914d218a2f5%2F1730989857040.jpg,,405233107,bf758d03-26b2-4f37-a143-3914d218a2f5,11/7/2024 15:11,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,5
2024-11-07 11:23:37.661000-05:00,2024-11-07 11:37:05.848000-05:00,11/7/2024,12:23:00.000-05:00,Leeward,,,Verlisha Bulbs,,,,,,1,,PO32watchpoint6,13° 14.50088,061° 12.9289,363,,Tropical Montane Forest  Farmland,1,1,0,0,,Deployed,14,Yes,,Yes,,Done,,,,,OK,,1730997420966.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F120e8a45-ae81-402a-8265-9efdb451fcc3%2F1730997420966.jpg,,405328452,120e8a45-ae81-402a-8265-9efdb451fcc3,11/7/2024 19:05,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,6
2024-11-07 14:31:22.682000-05:00,2024-11-07 14:41:40.802000-05:00,11/7/2024,14:32:00.000-05:00,Leeward,,,Verlisha Bulbs,,,,,,1,,PO33COFFEE,13° 14. 3506,061° 13.4419,307,,Forestry Planation,0,0,1,0,,Deployed,3,Yes,,Yes,,Done,,,,,OK,,1731008489261.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F67e39166-445c-444d-bb14-5cc053e35ada%2F1731008489261.jpg,,405328455,67e39166-445c-444d-bb14-5cc053e35ada,11/7/2024 19:05,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,7
2024-11-07 10:15:56.343000-04:00,2024-11-07 11:22:15.098000-04:00,11/7/2024,10:59:00.000-04:00,richmond,,,,,,,,,4,,,N13 18.3960,W061 12.4626,235966,,Tropical Montane Forest ,1,0,0,0,,Deployed,46,Yes,,Yes,,Done,,,,,,,1730992898448.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F1a218ed2-83fa-4467-8685-ea29e5ac0e8e%2F1730992898448.jpg,It's where the audio max is placed ,405602639,1a218ed2-83fa-4467-8685-ea29e5ac0e8e,11/8/2024 12:55,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,8
2024-11-07 13:33:44.477000-04:00,2024-11-07 14:02:40.577000-04:00,11/7/2024,13:33:00.000-04:00,richmond,,,,,,,,,4,,,N13.17.3357,W061.130835,261,,Forestry Planation,0,0,1,0,,Deployed,47,Yes,,Yes,,Done,,,,,,,1731002336722.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Ffde27fba-775c-4760-9c0b-ab133f899855%2F1731002336722.jpg,The audiomax max was placed above the lime plantation number 2 in mikosung ,405602730,fde27fba-775c-4760-9c0b-ab133f899855,11/8/2024 12:55,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,9
2024-11-07 15:26:22.089000-04:00,2024-11-07 16:27:03.503000-04:00,11/7/2024,15:35:00.000-04:00,richmond,,,,,,,,,4,,,N 13 17.0752,W 061 13.2303,247,,Tropical Montane Forest ,1,0,0,0,,Deployed,48,Yes,,Yes,,Done,,,,,,,1731011184632.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fd0a84b0f-39bf-48fb-adb2-2a86b10a9d18%2F1731011184632.jpg,,405602735,d0a84b0f-39bf-48fb-adb2-2a86b10a9d18,11/8/2024 12:55,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,10
2024-11-08 10:46:19.726000-04:00,2024-11-08 11:02:00.993000-04:00,11/8/2024,10:46:00.000-04:00,Windward North,,,,,Leon Matthews,,,,2,,PO5MRIDGE,699873,1474684,629,,Tropical Montane Forest ,1,0,0,0,,Deployed,6,Yes,,Yes,,Done,,,,,OK,,1731078113764.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F5d1a4e61-d64d-4f73-9441-8b51c639b3fa%2F1731078113764.jpg,,405660301,5d1a4e61-d64d-4f73-9441-8b51c639b3fa,11/8/2024 15:03,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,11
2024-11-08 12:06:44.430000-04:00,2024-11-08 12:22:27.705000-04:00,11/8/2024,12:06:00.000-04:00,Windward North,,,,,Leon Matthews,,,,2,,PO6MRIDGE,13 19.6319,061 08.6012,336,,Tropical Montane Forest ,1,0,0,0,,Deployed,26,Yes,,Yes,,Done,,,,,OK,,1731082939647.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fe8c03fac-4bf0-42b8-862f-52a22c57e36e%2F1731082939647.jpg,,405694219,e8c03fac-4bf0-42b8-862f-52a22c57e36e,11/8/2024 16:22,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,12
2024-11-08 10:50:35.185000-04:00,2024-11-08 11:09:48.646000-04:00,11/8/2024,10:54:00.000-04:00,Windward South,,,,,,,Other (write name below),Felicia Baptiste ,3,,PO12CONGO,N13 16.2668,W 061 08.8709,314,,Tropical Montane Forest ,1,0,0,0,,Deployed,31,Yes,,Yes,,Done,,,,,OK,,1731078570733.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F81522ebb-8648-4dea-a5d9-77fb963bff99%2F1731078570733.jpg,,405722967,81522ebb-8648-4dea-a5d9-77fb963bff99,11/8/2024 17:35,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,13
2024-11-08 13:20:13.577000-04:00,2024-11-08 13:35:41.785000-04:00,11/8/2024,13:20:00.000-04:00,Windward South,,,,,,,Ian Christopher,,3,,PO 11 OLD VAL,N13°16.5114',W061°07.9872',186,,Farmland,0,1,0,0,,Deployed,30,Yes,,Yes,,Done,,,,,OK,,1731087336900.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F6a2f1936-1277-4eae-9393-74b8cf6cf0e2%2F1731087336900.jpg,,405762307,6a2f1936-1277-4eae-9393-74b8cf6cf0e2,11/8/2024 19:36,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,14
2024-11-08 15:05:25.263000-04:00,2024-11-08 15:33:32.002000-04:00,11/8/2024,15:05:00.000-04:00,Windward South,,,,,,,Other (write name below),Quasim Roban,3,,Po9 hell,N13°18.2992',W061°08.6874,247,,Farmland Tropical Montane Forest ,1,1,0,0,,Deployed,29,Yes,,Yes,,Done,,,,,OK,,1731094315826.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F39b2d5df-8242-487e-ad4b-92494d13ad3c%2F1731094315826.jpg,,405762322,39b2d5df-8242-487e-ad4b-92494d13ad3c,11/8/2024 19:36,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,15
2024-11-08 12:16:42.872000-05:00,2024-11-08 14:46:25.925000-05:00,11/8/2024,14:26:00.000-05:00,Windward North,,,,,Rawl Baptiste,,,,2,,PO1JOUY,13 22 3424,061 10.0555,206,,Forestry Planation,0,0,1,0,,Deployed,7,Yes,,Yes,,Done,,,,,OK,,1731095180351.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F2bba9860-2893-4720-9d91-c3a0fdb9bb85%2F1731095180351.jpg,,405785451,2bba9860-2893-4720-9d91-c3a0fdb9bb85,11/8/2024 21:06,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,16
2024-11-13 06:13:21.879000-05:00,2024-11-13 06:27:56.439000-05:00,11/12/2024,06:14:00.000-05:00,Windward South,,,,,,,Other (write name below),Felicia Baptiste ,3,,PO10 MACMAY,N1317.3208,W061 08.5055,210,,Tropical Montane Forest ,1,0,0,0,,Deployed,32,Yes,,Yes,,Done,,,,,OK,,1731497264208.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F5547d984-9e83-4377-b573-8efdc83ec7fd%2F1731497264208.jpg,,407588619,5547d984-9e83-4377-b573-8efdc83ec7fd,11/13/2024 11:50,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,17
2024-11-13 09:06:54.158000-04:00,2024-11-13 09:15:44.199000-04:00,11/13/2024,09:06:00.000-04:00,Windward South,,,,,,,Ian Christopher,,,,PO 13 Perse,N13°16.6527,W061°09.2273,3333,,Tropical Montane Forest ,1,0,0,0,,Deployed,33,Yes,,Yes,,Done,,,,,OK,,1731503734465.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fa6e67476-6ad3-4ccc-bc68-96065a179ead%2F1731503734465.jpg,,407819636,a6e67476-6ad3-4ccc-bc68-96065a179ead,11/13/2024 18:14,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,18
